,timestamp,ask,bid,high,last_price,low,mid,timestamp.1,volume
0,1511125118.6124678,1179.7,1176.7,1270.0,1176.3,1117.4,1178.2,1511125123.9485233,78066.38063130001
1,1511125186.16426,1177.0,1176.8,1270.0,1177.0,1117.4,1176.9,1511125191.494519,78094.61853489
2,1511125241.9777482,1176.3,1176.2,1270.0,1176.0,1117.4,1176.25,1511125243.2652302,78120.25435406
3,1511125297.024194,1176.2,1175.2,1270.0,1175.3,1117.4,1175.7,1511125302.3540232,78120.84634233
4,1511125427.4435275,1174.8,1174.1,1269.0,1174.2,1117.4,1174.45,1511125432.7786222,78066.50591642
5,1511125476.8530884,1175.0,1174.4,1269.0,1174.4,1117.4,1174.7,1511125479.2599854,78064.45256847
6,1511125540.8243856,1173.2,1172.5,1269.0,1172.2,1117.4,1172.85,1511125546.1498075,78032.75264837
7,1511125600.7962015,1169.7,1169.0,1269.0,1169.0,1117.4,1169.35,1511125605.0285175,77962.41750806
8,1511125662.257688,1169.0,1168.9,1269.0,1169.2,1117.4,1168.95,1511125664.887288,77978.07678933
9,1511125719.7337213,1168.8,1168.1,1269.0,1168.8,1117.4,1168.45,1511125723.013463,77918.43348112
10,1511125776.2556856,1168.8,1167.1,1269.0,1167.1,1117.4,1167.95,1511125778.8318393,77932.84244562
11,1511125838.0522153,1170.0,1169.7,1269.0,1170.0,1117.4,1169.85,1511125842.3351116,77878.57084579
12,1511125897.8572192,1173.9,1171.7,1269.0,1172.8,1117.4,1172.8,1511125903.207979,77805.78732062
13,1511125956.8650134,1174.4,1173.1,1269.0,1173.1,1117.4,1173.75,1511125962.2150142,77797.82735723
14,1511126016.6574812,1176.9,1176.5,1269.0,1177.9,1117.4,1176.7,1511126022.0225792,77818.73655207
15,1511126078.8496394,1176.9,1176.8,1269.0,1176.9,1117.4,1176.85,1511126084.2102525,77767.50177633
16,1511126138.4792705,1175.6,1175.5,1269.0,1175.6,1117.4,1175.55,1511126143.7251248,77741.53644368
17,1511126202.5209866,1176.8,1175.0,1269.0,1173.9,1117.4,1175.9,1511126205.6130245,77743.42710085
18,1511126257.1843634,1176.0,1175.2,1269.0,1176.8,1117.4,1175.6,1511126260.4175262,77698.00801409
19,1511126317.1612735,1176.3,1174.7,1269.0,1176.6,1117.4,1175.5,1511126319.2357278,77723.02362081
20,1511126377.4214902,1175.2,1173.4,1269.0,1175.3,1117.4,1174.3,1511126381.2790356,77681.28094989
21,1511126436.6617146,1174.5,1174.0,1269.0,1174.0,1117.4,1174.25,1511126441.8536735,77641.32140581
22,1511126496.5678115,1173.8,1171.9,1269.0,1171.3,1117.4,1172.85,1511126501.942225,77607.42577932
